0237;Infraestructuras comunes de telecomunicación en viviendas y edificios. ;TMVM01
0254;Elementos amovibles;TMVM01
0255;Elementos metálicos y sintéticos;TMVM01
0256;Elementos fijos;TMVM01
0257;Preparación de superficies;TMVM01
0258;Elementos estructurales del vehículo;TMVM01
0259;Embellecimiento de superficies;TMVM01
0260;Mecanizado Básico;TMVM01
0262;Empresa e iniciativa emprendedora;TMVM01
0291;Sistemas eléctricos y de seguridad y de confortabilidad;TMVM01
0292;Sistemas de transmisión de fuerzas y trenes de rodaje;TMVM01
0293;Motores térmicos y sus sistemas auxiliares;TMVM01
0294;Elementos amovibles y fijos no estructurales;TMVM01
0295;Tratamiento y recubrimiento de superficies;TMVM01
0296;Estructuras del vehículo;TMVM01
0297;Gestión y logística del mantenimiento de vehículos;TMVM01
0298;Técnicas de comunicacón y relaciones;TMVM01
0300;Empresa e iniciativa emprendedora;TMVM01
0314;INSTALACIONES DE TELECOMUNICACIONES;TMVM01
0452;Motores;TMVM02
0453;Sistemas auxiliares del motor;TMVM02
0454;Circuitos de fluidos. Suspensión y dirección;TMVM02
0455;Sistemas de transmisión y frenado;TMVM02
0456;Sistemas de carga y arranque;TMVM02
0457;Circuitos eléctricos auxiliares del vehículo;TMVM02
0458;Sistemas de seguridad y confortabilidad;TMVM02
0461;Formación en centros de trabajo;TMVM01
623;Gestión económica y financiera de la empresa;TMVM01
930;Políticas de marketing;TMVM01
931;Marketing digital;TMVM01
1007;Diseño y elaboración de material de comunicación;TMVM01
1008;Medios y soportes de comunicación;TMVM01
1010;Investigación comercial;TMVM01
1226;Marketing en la actividad comercial;TMVM01
1229;Gestión de compras;TMVM01
1231;Dinamización en el punto de venta;TMVM01
1232;Procesos de venta;TMVM01
1233;Aplicaciones informáticas para el comercio;TMVM01
3001;Tratamiento informático de datos;TMVM01
3006;Preparación de pedidos y venta de productos;TMVM01
3070;Operaciones auxiliares de almacenaje;TMVM02
Código;Nombre;Curso
